,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Group 1,Ko3ak_CIPKO,Dato,_KoYoT_,Amonagil,,P,,,,,Group 2,Sleepy_Fly,Phantom_Shadow,mihail_fernyuk,IncertuS,,P,,,,,,,
,Ko3ak_CIPKO,,,,,Ko3ak_CIPKO,0,,,,,Sleepy_Fly,,,,,Sleepy_Fly,0,,,,,,,
,Dato,,,,,Dato,0,,,,,Phantom_Shadow,,,,,Phantom_Shadow,0,,,,,,,
,_KoYoT_,,,,,_KoYoT_,0,,,,,mihail_fernyuk,,,,,mihail_fernyuk,0,,,,,,,
,Amonagil,,,,,Amonagil,0,,,,,IncertuS,,,,,IncertuS,0,,,,,,,
